date,symbol,open,high,low,close,Volume BTC,Volume USD
20/05/2022,BTC/USD,30271.22,30321.95,30197.73,30242.06,6.0900872,184176.7825
19/05/2022,BTC/USD,28681.15,30505.14,28656.46,30290.33,2516.774845,76233940.6
18/05/2022,BTC/USD,30423.9,30670,28615.23,28681.26,2318.15545,66487619.18
17/05/2022,BTC/USD,29847.53,30753.96,29400,30425.36,2143.925663,65229710.12
16/05/2022,BTC/USD,31275.27,31275.27,29060,29832.45,3112.79429,92862280.02
15/05/2022,BTC/USD,30041.16,31411.48,29440.71,31295.03,2085.066301,65252212.44
14/05/2022,BTC/USD,29239.41,30281.49,28561.23,30033.96,2910.992163,87428622.18
13/05/2022,BTC/USD,28932.69,30974.6,28686.37,29238.81,6010.273639,175733249
12/05/2022,BTC/USD,28999.99,30090.7,25401.05,28896.19,16578.8106,479064461
11/05/2022,BTC/USD,31002.27,32148.15,27757.77,29000,11180.84884,324244616.2
10/05/2022,BTC/USD,30066.48,32650,29731.03,30999.97,7402.302313,229471149.6
09/05/2022,BTC/USD,34051.2,34224.35,30015,30082,7631.121662,229559401.8
08/05/2022,BTC/USD,35465.46,35496.55,33710.16,34025.5,2670.399816,90861688.94
07/05/2022,BTC/USD,36019.15,36123.99,34777.85,35463.46,1224.396993,43421353.77
06/05/2022,BTC/USD,36542.41,36648.2,35268.69,36019.22,2594.533331,93453066.84
05/05/2022,BTC/USD,39685.23,39840.37,35579.4,36533.93,3736.730129,136517437
04/05/2022,BTC/USD,37735.35,40050.19,37665.46,39685.23,2297.272134,91167773.03
03/05/2022,BTC/USD,38506.38,38641.57,37515.83,37729.95,1157.922077,43688342.05
02/05/2022,BTC/USD,38484.46,39153.13,38045.79,38521.01,1434.100799,55243011.22
01/05/2022,BTC/USD,37638.78,38672.2,37400,38488.34,1248.04269,48035091.4
30/04/2022,BTC/USD,38599.3,38786.95,37597.36,37639.8,728.2796199,27412299.24
29/04/2022,BTC/USD,39753.28,39923.61,38174.27,38593.42,1600.899167,61784173.92
28/04/2022,BTC/USD,39254.4,40387,38880.44,39754.2,1842.005084,73227438.53
27/04/2022,BTC/USD,38105.68,39494.73,37885.75,39256.05,1769.009307,69444317.79
26/04/2022,BTC/USD,40452.52,40800,37701,38137.67,2909.72252,110970037.3
25/04/2022,BTC/USD,39464.67,40602.85,38202.91,40441.11,2220.044028,89781044.73
24/04/2022,BTC/USD,39438.51,39944.65,38987,39467.4,663.7041724,26194678.05
23/04/2022,BTC/USD,39700.55,39983.98,39301,39421.59,398.2444878,15699430.92
22/04/2022,BTC/USD,40497,40808.66,39197.64,39726.03,2136.999771,84894517.02
21/04/2022,BTC/USD,41378.77,42978.95,39770,40470.76,2163.314054,87550963.87
20/04/2022,BTC/USD,41476.89,42220.04,40893.21,41375.85,1359.541313,56252177.44
19/04/2022,BTC/USD,40814.6,41754.05,40578.58,41505.77,1457.110812,60478506.24
18/04/2022,BTC/USD,39660.62,41101,38547.12,40814.6,2421.081856,98815487.51
17/04/2022,BTC/USD,40379.81,40602.69,39565.68,39691.27,485.0037186,19250413.55
16/04/2022,BTC/USD,40576.41,40701,40014.79,40395.67,365.7262478,14773756.82
15/04/2022,BTC/USD,39962.6,40869.99,39788.97,40563.18,752.399438,30519713.84
14/04/2022,BTC/USD,41159.29,41504.29,39582.53,39961.53,1169.493818,46734762.29
13/04/2022,BTC/USD,40099.51,41557.61,39584.86,41147.74,1563.484487,64333853.18
12/04/2022,BTC/USD,39545.37,40691.01,39273.65,40097.46,2111.920574,84682650.72
11/04/2022,BTC/USD,42159.45,42415.57,39218.15,39524.86,2288.479212,90451820.46
10/04/2022,BTC/USD,42774.85,43450.72,41888.88,42133.85,862.6131047,36345211.16
09/04/2022,BTC/USD,42258.22,42807.63,42131.51,42767.89,525.173544,22460564.36
08/04/2022,BTC/USD,43467.82,43986.09,42120,42290.11,1453.744661,61479021.63
07/04/2022,BTC/USD,43172.83,43896.45,42741.52,43454.53,1381.677378,60040141.07
06/04/2022,BTC/USD,45512.95,45548.77,43086.8,43191.59,3073.556897,132751809.3
05/04/2022,BTC/USD,46514.43,47201,45342.33,45502.73,1127.690437,51312993.48
04/04/2022,BTC/USD,46414.88,46891.17,45124.79,46598.2,1496.641541,69740801.87
03/04/2022,BTC/USD,45820.28,47458.48,45565.64,46401.57,1063.628732,49354043.08
02/04/2022,BTC/USD,46306.38,47218.17,45650,45820.28,724.3087501,33188029.73
01/04/2022,BTC/USD,45522.53,46739.81,44244,46307.81,1953.219529,90449318.82
31/03/2022,BTC/USD,47086.07,47624.18,45234,45517.27,1372.965107,62493623.49
30/03/2022,BTC/USD,47459.03,47721.41,46572.15,47068.08,1627.543218,76605334.37
29/03/2022,BTC/USD,47152.38,48128.87,46941.84,47459.03,1716.323923,81455068.56
28/03/2022,BTC/USD,46854.96,48234,46672.25,47152.38,2691.937848,126931276.3
27/03/2022,BTC/USD,44553.24,46950,44456.9,46864.39,1548.888905,72587733.72
26/03/2022,BTC/USD,44340.49,44815.31,44101,44535.65,494.7242021,22032863.91
25/03/2022,BTC/USD,44025.99,45137.12,43616.88,44320.6,1725.07157,76456207.02
24/03/2022,BTC/USD,42912.21,44240,42636.54,44025.99,2173.304975,95681903.07
23/03/2022,BTC/USD,42393.62,43021.73,41779.11,42925.41,1906.723546,81846889.99
22/03/2022,BTC/USD,41018.36,43337.41,40901.13,42393.41,2375.424654,100702351.3
